,text,labels,CNN_olid_small,CNN_hasoc,BiLSTM_olid_small,BiLSTM_hasoc,roberta_olid_small,hateBERT_olid_small,roberta_hasoc,hateBERT_hasoc,NB_olid_small,SVM_olid_small,NB_hasoc,SVM_hasoc, category
15923,"    #    WhoIsQ     #    WheresTheServer     #    DumpNike     #    DECLASFISA Democrats Support Antifa    ,     Muslim Brotherhood    ,     MS13    ,     ISIS    ,     Pedophilia    ,     Child Trafficking    ,     Taxpayer Funded Abortion    ’    s    ,     Election Fraud    ,     Sedition And Treason    !        !        !         #    LockThemAllUp     #    WWG1WGA     #    QAnon ⁦    @    USER URL",1,1,1,0,0,1,0,1,1,1,1,0,1,lack of context
13876,    #    Watching     #    Boomer getting the news that she is still up for parole always makes me smile    .         #    Wentworth Finale    .        .        .        @    USER is such a treasure    .     URL,0,0,0,0,0,0,0,0,0,0,0,1,1, possible interpretations 
60133,    #    NoPasaran    :     Unity demo to oppose the far    -    right in     #    London     –         #    antifa     #    Oct13     —     Enough is Enough    !     URL,1,0,0,0,0,0,0,0,0,0,0,0,0, lack of context
83681,    .         .         .     What the fuck did he do this time    ?    ,1,1,1,1,1,1,1,1,1,1,1,1,1, grey area
96874,    #    RAP is a form of ART    !     Used to express yourself freely    .     It does not gv the green light or excuse the behavior of acting like an animal    !     She is not in the streets of the BX where violence is a way of living    .     Elevate yourself boo and get on     @    USER level for longevity    !         #    QUEEN👑,0,0,1,1,1,0,0,0,0,0,0,1,1, lack of context
65507,    @    USER Do you get the feeling he is kissing     @    USER behind so he can humiliate him later    ?    ,1,0,0,0,1,1,0,1,1,0,0,0,1, possible interpretations
12588,    @    USER Nigga ware da hits at,1,1,0,1,0,1,1,0,0,1,1,0,0, grey area
65773,    #    Dayspromo week of September 17th     #    days     #    dool  A coma does things to a gal     .     Sami    :     You are going to be ok    .     Hattie    :     No thanks to you    .      Get her out of here    .     Before she finishes me off    .      Hattie pretends to be Marlena    .      The look on Kayla face is priceless    .     URL,0,0,1,0,1,1,0,0,0,0,0,1,1, possible interpretations
70840,    #    Kavanaugh so a wild claim from 36 years ago of groping has evolved into A Rape A Violent Sexual Event by Move URL a Soros based Org    .     that supports BLM Antifa etc    .     Unbeievable    !    ,0,0,0,1,1,0,0,1,0,0,0,1,1, possible interpretations
53563,"    #    kznlt Enjouji really is the prototype of my character brand    ,     he is nothing but things that I love all rolled into one horrible package and fed directly into baby me    '    s subconscious    .    ",0,0,1,0,0,0,0,0,0,1,0,0,1, sarcasm
83155,    #    HIAC  Damn Matt Hardy and Randy Orton put on one hell in a cell match    !        !     Woooo    !        !        !     I hope he is okay    !        !    ,0,1,1,1,1,1,1,1,1,1,0,1,1, lack of context
69576,    @    USER School shootings aren    '    t controversial    .     Wanting gun control is    .    ,0,0,0,0,0,0,0,0,0,0,0,1,1, possible interpretations
88490,    #    ChristineBlaseyFord is your     #    Kavanaugh accuser    .        .        .         #    Liberals try this EVERY time    .        .        .         #    ConfirmJudgeKavanaugh URL,1,1,1,0,1,0,0,0,0,0,0,0,1, lack of context
86917,"    #    osho     #    quotes via     @    USER Listen to your being    .     It is continuously giving you hints    .     It is a still    ,     small voice    .     It does not shout at you    ,     that is true    .     And if you are a little silent you will start feeling your way    .     Be the person you are    .     Never try    …     URL URL",0,0,1,0,1,0,0,0,0,0,0,1,1, possible interpretations
59200,"    #    Georgetown Classmate Says     #    Left Accuser is Absolutely NUTS    ""      URL     ""    Judge Kavanaugh    ""        @    USER     @    USER     @    USER     #    ABC     #    CBS     #    Democrats     #    Liberals     #    women     #    MondayMotivation     #    MondayMorning     #    veterans     #    law     #    MAGA     #    GOP     #    CNN     #    MSNBC     #    NBC     #    Moms     #    BlackWomen     #    BET    ""    ",0,1,0,0,0,0,0,1,1,1,1,0,1, grey area
30900,    @    USER     @    USER     @    USER Are you referring to how they lollygag with gun control as their kids get slaughtered in schools    ?    ,0,1,0,1,0,1,1,0,1,1,1,1,1, grey area
44546,    @    USER     @    USER     @    USER     @    USER     @    USER     @    USER     @    USER     @    USER     @    USER I    ’    m shocked to learn human traffickers had guns    .      Some probably illegal too    .      CA needs more gun control    .      But don    ’    t worry about the actual crime    .      The pic of black guns is worse    .    ,1,1,0,1,0,1,1,0,1,0,0,0,1, sarcasm
